Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
mba finance,US,Your Guide to the MBA Finance Concentration,Published,2022-04-14,https://www.coursera.org/articles/mba-finance,Alissa,Degrees,"Degrees by Topic,Finance",Business Degrees,"Advancer,Switcher",Considering,Degree Overview
technical skills,US,What Are Technical Skills?,Published,2022-08-16,https://www.coursera.org/articles/what-are-technical-skills,Julie,Career Advice,Skills,Job Skills,"Advancer,Switcher,Starter",Considering,Skills
online accounting degree,US,Your Guide to Online Accounting Degrees,Published,2022-09-14,https://www.coursera.org/articles/online-accounting-degree,Izea,Degrees,"Degrees by Topic,Finance","Business Degrees,Accountant",Switcher,Considering,Degree Overview
is community college free,US,"Is Community College Free? (In Some States, Yes)",Published,2022-06-10,https://www.coursera.org/articles/is-community-college-free,Izea,Degrees,"Degrees by Level,Degree Advice","Associate,Degree FAQ,Financial Aid",Starter,Considering,Long Explainer
upward communication,US,The Importance of Upward Communication and How to Implement It on Your Team,Published,2022-09-21,https://www.coursera.org/articles/upward-communication,Amanda,Career Advice,Skills,Job Skills,"Starter,Switcher,Advancer",Current,Skills
what grade do you need to pass a college class,US,What Grade Do You Need to Pass a College Class?,Published,2022-08-18,https://www.coursera.org/articles/what-grade-do-you-need-to-pass-a-college-class,Alissa,Degrees,"Degree Advice,Degrees by Level","Success in College,Bachelor's,Degree FAQ",Starter,Current,Long Explainer
most popular college majors,US,10 Most Popular College Majors,Updates Assigned,2022-12-09,https://www.coursera.org/articles/most-popular-college-majors,Alissa,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Degree Overview
marketing degree requirements,US,Marketing Degree Requirements: Your 2026 Guide ,Published,2022-05-19,https://www.coursera.org/articles/marketing-degree-requirements,Amanda,Degrees,"Marketing,Degrees by Topic,Degree Advice",Business Degrees,"Starter,Switcher",Considering,Degree Overview
statement of purpose for mba,US,How to Write a Statement of Purpose for an MBA,Published,2021-11-24,https://www.coursera.org/articles/statement-of-purpose-for-mba,Alissa,Degrees,"Degrees by Topic,Degree Advice","Business Degrees,College Applications",Advancer,Applying,Resources
is marketing a good major,US,Is Marketing a Good Major?,Published,2022-05-17,https://www.coursera.org/articles/is-marketing-a-good-major,Amanda,Degrees,"Marketing,Degrees by Topic","Business Degrees,Digital Marketer","Starter,Switcher",Considering,Long Explainer
phd,US,What Is a PhD?,Redirected,2022-05-11,https://www.coursera.org/articles/phd,Izea,Degrees,Degrees by Level,Advanced,Advancer,Considering,Degree Overview
is a master's degree worth it,US,Is a Master's Degree Worth It?,Published,2022-05-06,https://www.coursera.org/articles/is-a-masters-degree-worth-it,Amanda,Degrees,"Degrees by Level,Degree Advice",Master's,"Switcher,Advancer",Considering,Degree Overview
